populacao,ano,amazonia,fronteira,capital,latitude,longitude,altitude,area,sigla_uf,nome_uf,venda_gasolina,venda_etanol,venda_diesel,emissao_co,emissao_nox,emissao_covnm,emissao_mp25_total,emissao_mpcomb,emissao_co2e,energia_renovavel,municipio,regiao,uf_regiao,cluster
22728.0,2020,S,S,N,-11.929,-61.996,350,7066702,RO,RONDONIA,4201000,55648,6100500,4611.7461169693015,5176.821993541361,653.9788905159711,202.77493131209204,115.07209959673442,948.6676733162976,0.1713441986336654,Alta Floresta D'Oeste,N,Norte,18
109523.0,2020,S,N,N,-9.913,-63.041,142,4426558,RO,RONDONIA,32894370,563605,55660800,7924.728550207599,9726.043387373164,1122.9801155891305,375.2899104869456,216.62081114995087,1712.1331691357243,0.1727631980230693,Ariquemes,N,Norte,15
5188.0,2020,S,S,N,-13.492,-60.545,230,1314355,RO,RONDONIA,1300400,0,1565200,5862.344560215045,5882.763296061543,830.9522848401886,235.14110927630264,130.41909069245725,1138.859505495553,0.1467792431824005,Cabixi,N,Norte,18
85893.0,2020,S,N,N,-11.438,-61.448,200,3792638,RO,RONDONIA,24190000,478199,54194000,8340.275280632432,11934.70976324531,1179.4251943457075,449.8475320441665,266.6227387297106,1970.984982946023,0.1653768805977898,Cacoal,N,Norte,7
16204.0,2020,S,S,N,-13.189,-60.812,277,2783305,RO,RONDONIA,4838500,76662,5961430,7072.030918257006,7165.709465154225,1004.445922755142,286.00884602332803,158.87293692952267,1377.0184080315837,0.18404430359309,Cerejeiras,N,Norte,18
15544.0,2020,S,S,N,-13.117,-60.542,460,1451058,RO,RONDONIA,4170000,89503,3791711,5859.469065432897,4860.437800926124,834.6422939720188,202.2344209328827,107.1282933076337,1032.2335079844995,0.212326772427754,Colorado do Oeste,N,Norte,18
7220.0,2020,S,S,N,-12.962,-60.887,340,3060318,RO,RONDONIA,1551000,0,1637055,4838.0521050571815,4461.66757379277,686.3456716391892,181.35293029302088,98.68578325310894,900.7058788212303,0.1500017169189329,Corumbiara,N,Norte,18
18798.0,2020,S,S,N,-12.445,-64.227,140,12722168,RO,RONDONIA,2076000,0,1481000,2266.1977529673936,1605.11399959482,322.2079023558373,69.28701394943313,35.19694420129568,373.6149972454351,0.1597935793671131,Costa Marques,N,Norte,1
46556.0,2020,S,S,N,-10.783,-65.339,128,24855652,RO,RONDONIA,6090000,268858,2556000,2506.72574116494,1204.5161482363856,359.849061429691,58.33803554161887,25.90846307540044,351.8587894671991,0.3175385913456647,Guajará-Mirim,N,Norte,1
51620.0,2020,S,N,N,-10.439,-62.466,124,2944025,RO,RONDONIA,12706800,202800,20679533,6399.621513049483,7681.1423343996,907.0170922960816,297.4671208470052,170.99500565485562,1365.5685610882254,0.1721626595948147,Jaru,N,Norte,18
130009.0,2020,S,N,N,-10.882,-61.944,170,6896782,RO,RONDONIA,34466500,529764,55459500,6862.489313284652,8183.614844880089,972.6355064491136,317.26387035427257,182.1558151741501,1459.1577280829113,0.1714797325657782,Ji-Paraná,N,Norte,15
40867.0,2020,S,N,N,-9.444,-61.981,102,8509274,RO,RONDONIA,7261000,87903,6817000,3897.8292254510416,3313.7777336872578,554.3448428017269,137.0901791723047,73.10582140487034,696.0021494158867,0.186490651059946,Machadinho D'Oeste,N,Norte,18
20489.0,2020,S,S,N,-11.725,-62.331,320,1155353,RO,RONDONIA,3197000,35000,3127000,3457.4633104952145,3021.716548304699,491.5050306111351,124.25654108818694,66.7204945068366,625.7261597234983,0.1817714631439257,Nova Brasilândia D'Oeste,N,Norte,1
35737.0,2020,S,N,N,-10.716,-62.248,280,1970151,RO,RONDONIA,12353000,122444,29263000,10468.713421494562,15456.163574019083,1478.1084830163309,579.9290326832736,345.5088408218381,2524.164129061419,0.1477696645360922,Ouro Preto do Oeste,N,Norte,7
36881.0,2020,S,S,N,-11.673,-61.193,195,6241072,RO,RONDONIA,10216800,171966,52227000,12850.569172994805,26237.633037573385,1803.8869054816569,946.57602478001,589.3895156143602,3821.709200798273,0.1345532570965569,Pimenta Bueno,N,Norte,17
539354.0,2020,S,S,S,-8.762,-63.904,85,34082366,RO,RONDONIA,137207506,7109260,261712912,7104.858697588811,9241.765744523187,1009.8858344951936,353.5353733860267,206.0320069592052,1580.2515293486008,0.2248443145688871,Porto Velho,N,Norte,16
18571.0,2020,S,N,N,-11.176,-61.901,185,1758461,RO,RONDONIA,5489000,91000,7006500,7078.759563301182,7332.192608580362,1005.2398884323148,291.4429578835584,162.65542206455328,1394.1023349733832,0.1841115035737674,Presidente Médici,N,Norte,18
3804.0,2020,S,N,N,-9.705,-62.9,0,1717648,RO,RONDONIA,439000,0,949000,3345.916441896097,4723.799714497908,472.246045841325,178.3418103649029,105.51751399466433,786.0815602039341,0.1336230136295057,Rio Crespo,N,Norte,18
